,,,,,,,,,,,,,,,,,,
,FIX AND FLIP / RENT,,,,GROUND UP CONSTRUCTION,,,,,,,,,,,,,Stabilized Bridge
,Eligible Properties ,,Single Family/2-4 Unit/Townhomes,,Eligible Properties ,,1-4 Unit Residential/Mid Construction take outs ,,,,,,,,Eligible Properties ,,Single Family/2-4 Unit/Townhomes,
,,,PUDs/Condos,,,,"Phased Developments- 10-50 Lots,Financing tailored to absorbtion rate",,,,,,,,,,PUDs/Condos,
,Loan Size,,$50k-5M,,Loan Size,,$100k-3M per unit ( Upto 50M if multiple Units),,,,,,,,Loan Size,,100k-3.5M,
,Max LTC(Purchase),,Up to 90%( First Timers Eligibile),,Loan to Cost,,Up to 90% LTC (First time builders eligible w/ Exp GC in place),,,,,,,,LTV,Purchase,85%LTC/ Subject to 70% LTV,
,,,**100% On excecption ,,,,,,,,,,,,,Cashout & Rate/Term 70%LTV,,
,Rehab Funding,,100% (Drawn as work completes),,Lot Acquisiton ,,Up to 75% Purchase Price or As-Is (>6mo seasoning),,,,,,,,Min DSCR,"1.10 if C3 condition ( C1,C2 no min DSCR)",,
,Max LTV(ARV),,Up To 75%,,Max LTV(ARV),,70%,,,,,,,,Term,"12mo, Extensions possible. No Prepay Penalty",,
,Term,,12-18Mo,,Term,,12-24Mo,,,,,,,,Min FICO,>679,,
,Rate,,"8.75%+  Interest Only, No Prepay Penalty",,Rate,,"8.75%+ Interest Only, No Prepay Penalty",,,,,,,,Rate,"9.49+, Fixed Rate  only",,
,Exit Strategy,,>0% ROI or Min DSCR Exit of 1.10,,Exit Strategy,,>10% ROI or Min DSCR Exit of 1.10,,,,,,,,Pre Approval,"24 Hrs, Soft Credit Pull",,
,Min FICO,,620 (Guarantor Accepted),,Min FICO,,>679 (Guarantor Accepted),,,,,,,,Appraisals, Standard Appraisal ,,
,Pre Approval,,"24 Hrs, Soft Credit Pull",,Pre Approval,,"24 Hrs, Soft Credit Pull",,,,,,,,Close Timeline ,10 Days,,
,Appraisals ,,No appraisal Option/AMC Appraisal,,Appraisals,,No appraisal Option/AMC Appraisal,,,,,,,,,,,
,Close Timeline,,7-14 Days,,Close Timeline,,2-4 weeks Depending on complexity,,,,,,,,,,,
,Draws Reinbursement,,24-48Hrs,,Draws Reinbursement,,24-48hrs,,,,,,,,,,,
