,,,
,Multifamily Perm (5+ Unit Properties),,
,,,
,Property Type,,Residential Multifamily Upto 30 Units
,,,
,Rate,,Starting at 6.49%
,,,
,Loan Size,,$350k-$6mm (larger loan amounts on exception)
,,,
,Property Value ,,$500k-$15mm
,,,
,Max LTV (Purchase),,75%
,Max LTV (Rate/Term),,75%
,Max LTV (Cash-Out),,70%
,,,
,Minimum DSCR,,1.10x
,,,
,Term,,30 Year Fixed or Hybrid ARM
,,,
,Amortization,,Fully Amortizing or Partial Interest Only
,,,
,Min FICO,,680
,,,
,Close Timeline ,,4-6weeks
,,,
,,,
,Multifamily Bridge (5+ Unit Properties),,
,,,
,Loan Size,,$1M-$10M
,,,
,Max Intial LTC,,75%
,,,
,Max Loan to ARV,,70%
,,,
,Max Blended LTC,,80%
,,,
,Min. Stabilized Debt Yield ,,9%
,,,
,Stabilzed DSCR Take Out,,1.2x
,,,
,Term Length,,12-24Mo
,,,
,Amortization,,Interest Only
,,,
,Rate,,Fixed or 1mo SOFR+ 450
,,,
,Origination Fee,,1.5%-2.5%
