,,,
,SINGLE PROPERTY DSCR,,
,,,
,Eligible Properties,,"SFR, 2-4Unit,Condo, Townhome, PUD, STR (Case by Case)"
,,,
,Rate,,Starting at 5.75%
,,,
,Loan Size,,$75k-$2.5mm
,,,
,Max LTV (Purchase),,80% (85% on exception)
,Max LTV (Rate/Term),,80%
,Max LTV (Cash-Out),,75% (80% on exception)
,,,
,Min DSCR,,.75x (Lower DSCR Case by Case)
,,,
,Term,,30 Year Fixed or Hybrid ARM
,,,
,Amortization,,Fully Amortizing or Partial Interest Only
,,,
,Min FICO,,660 (Lower FICO on Exception)
,,,
,Minimum Seasoning,,None
,,,
,Close Timeline ,,2-3 Weeks
,,,
,PORTFOLIO DSCR,,
,,,
,Eligible Properties,,"SFR, 2-4Unit,Condo, Townhome, PUD"
,,,
,Rate,,Starting at 5.75%
,,,
,#of properties,,Upto 20 PER Portfolio
,,,
,Loan Size,,$100K -$3mm PER Portfolio
,,,
,Max LTV (Purchase),,80%
,Max LTV (Rate/Term),,80%
,Max LTV (Cash-Out),,75%
,,,
,Loan Structure,,"Blanket Loan, One Closing, Cross- Collateralized"
,,,
,Min DSCR,,1.00x 
,,,
,Term,,30 Year Fixed or Hybrid ARM
,,,
,Amortization,,Fully Amortizing or Partial Interest Only
,,,
,Min FICO,,660
,,,
,Min Occupancy,,90% by Unit Count
,,,
,Release Price,,1.2x of Allocated Loan Amount/Property
,,,
,Close Timeline ,,4-6weeks
